,tweets,FinalScore
60,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????Ã¢ÂÂ¬??????? https://t.co/kEXzprmdlZ",2
61,"RT @LindaL83490762: @alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I ca????????Ã¢ÂÂ¬???????",2
62,"@alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I can't imagine limited nuclear war between 2 nuclear powers. If you launch 1, you might as well launch the lot &amp; I'd rather go straight away than face radiation &amp; nuclear winter.",2
63,FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/uhlBtUlV1I,2
64,"RT @harryhorrorshow: TONIGHT 8PM EST/ 5PM PST

It????????Ã¢ÂÂ¬???????s one of the worst nuclear disasters in history????????Ã¢ÂÂ¬???????and a name that sits in infamy????????Ã¢ÂÂ¬???????

CHERNOBY????????Ã¢ÂÂ¬???????",2
65,"This is a potential humanitarian and environmental crisis on a massive scale - and it will be worse if this impacts the nuclear plants that relies on the reservoir water for cooling.
#Ukraine??? #Russia #War https://t.co/kH5W7rroW3",2
66,"RT @FromSteveHowell: Zelensky had better watch his back...

The US is now pointing its finger at Ukraine for the blowing up the Nord Stream????????Ã¢ÂÂ¬???????",1
67,@Jerusalem_Post FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/DcjC7mC0BB,2
68,"@spy_hunter_ 'It's safe', let's not play word games. The point is not the frequency of nuclear accidents, it is the unhinged scale of disaster (potentially continent-wide) when things do go wrong, which escalates in probability with every proliferation of plants.",2
69,"RT @Kanthan2030: After losing Bakhmut, Ukraine????????Ã¢ÂÂ¬???????s military has no ????????Ã¢ÂÂ¬???????spring counteroffensive????????Ã¢ÂÂ¬??????? that the Western governments promised.

Thus, th????????Ã¢ÂÂ¬???????",2
70,RT @GicAriana: Is the West waiting for Russia to blow up nuclear power plants across Ukraine simultaneously before we give Ukraine the gree????????Ã¢ÂÂ¬???????,0
71,"@AubreyGilleran @thefactualprep 1) We, mostly Democrats at best reluctant to take advantage of many of our potential energy resources, including nuclear.

2) It????????Ã¢ÂÂ¬???????s a global market and energy prices heavily dependent on what happens in the Gulf, even if  we become completely energy independent.",1
72,"""And way back in March of 2022, I looked at the various ways Russia could use its tactical nuclear weapons in an attempt to win a decisive advantage in Ukraine."" https://t.co/d0Ytp7aEJ0",1
73,"@BrianJo78940026 @CCRFInc Collecting Craft to reverse engineer. 
Making Alliances with Off and In (under) World Intelligences trading Humans for DNA manipulation and getting advanced technology for a Military Advantage.  
Securing the Fear of our Atomic and Nuclear Weapons against formidable Entities.",1
74,"Please????????Ã¢ÂÂ¬???????everyone in this world know that the nuclear wastewater in Japan cannot be discharged, we know the consequences of doing this. If they take advantage of legal loopholes, then change it!!!!! I know this sounds silly, but we cannot just watch this happen!!!!",2
75,"RT @djuric_zlatko: The dam exploded...

By whom? 
The Ukrainian side.

Why? 
Because they have an advantage in this situation.

What is it?????????Ã¢ÂÂ¬???????",0
76,@Penyrheolgerrig @visegrad24 ...the obvious advantage is to ukraine of this attack on the dam...why would russia put itself in danger from flooding and possible nuclear meltdown?...why?...what do you base your presumption that russia 'did it' on?...i and the world know russia didn't do this or nordstream...,2
77,"So if you care about climate, the Green Party is ironically the last party you should vote for. Even Tories recognize the need for nuclear. In the UK at least. Did you know that the Finnish Greens have dropped their opposition to nuclear? Be more like the Finnish Greens, Caroline",0
78,"@TheGreenParty If you are serious about climate action, join the #nuclear bandwagon 

https://t.co/aH4Xxiu9uN",0
79,@BDliveSA There????????Ã¢ÂÂ¬???????s difference between ????????Ã¢ÂÂ¬???????climate change activists????????Ã¢ÂÂ¬??????? and ????????Ã¢ÂÂ¬???????anti-nuclear lobbyists????????Ã¢ÂÂ¬???????.,0
80,@ThuleanGamer We should make nuclear winter to help with climate change,0
81,"Well said @carla_denyer ""#renewables is simply the way forward. Nuclear is not going to help us out in this climate emergency...the trouble with nuclear energy is that it's incredibly slow &amp; incredibly expensive....""
#SayNo2SizewellC https://t.co/5mDt0YkqFU",2
82,"@JohnMcC61971366 @SabbySabs2 Climate change is equally as important as nuclear war. They are on par.

Again, that was just your one opinion on the Greens.",0
83,"RT @LouisvilleGun: You don't actually care about the climate with your ""green energy"" if you aren't promoting nuclear power. https://t.co/l????????Ã¢ÂÂ¬???????",2
84,"@ScottAdamsSays @whitewalker420 His response to nuclear energy is terrible. The same problem with climate extremism is the same problem with the vaccine. ONE DICTATED SOLUTION is not the answer. We need ""all of the above"" solutions.",2
85,Hey @AlboMP: thanks for committing to support climate-vulnerable countries. Will you put those words into action at the June Paris Summit? Australia's fair share of the $100bn climate pledge is equal to just one nuclear submarine. Your action is needed to #PowerOurPlanet!,1
86,"@regisg @45BillionCrypto @StakeWithPride On a long time horizon yes, climate change will affect significantly water availability. This is why we need to innovate fast. Cutting oil before we????????Ã¢ÂÂ¬???????re ready will ensure we never get there.

I????????Ã¢ÂÂ¬???????d love to see a net creation of new nuclear plants, not empty promises.",1
87,"@TonyClimate True, RFK jr. is a good man, IMO, but he is anti-nuclear, believes that wind and solar will provide all the energy we need, and that climate change is a major crisis.",0
88,"Climate change? Time to get serious about nuclear, thorium, and solar, and phase out CO2 emissions. Arsons? Public execution (sorry)",2
89,"RT @dorfman_p: Nuclear power????????Ã¢ÂÂ¬???????s baseload concept ????????Ã¢ÂÂ¬???????a load of cobblers????????Ã¢ÂÂ¬???????. 

#nuclear #nuclearenergy #ClimateScam #climate 
https://t.co/Vezqbhl????????Ã¢ÂÂ¬???????",0
90,"RT @dorfman_p: Nuclear: 'lying is the new black.'

#nuclear #climate #ClimateScam  https://t.co/6cGuh9lItM via @BeyondNukesInt",0
91,"@lesiavasylenko While Russia committed war crimes, I'm not sure destroying a dam will lead to rising temperatures and climate change itself, unless the Zaporizhzhia Nuclear Plant is impacted",2
92,"@GretaThunberg Hey, how do you think, the dam disruption in Ukraine caused by Russia today, will it affect climate? Russia left big nuclear power plant  without cooling.
#RussiaIsATerroristState 

https://t.co/ER6KcTXQCi",2
93,"RT @dorfman_p: UK Govt says renewables ????????Ã¢ÂÂ¬???????cannot ensure security of supply????????Ã¢ÂÂ¬??????? ????????Ã¢ÂÂ¬??????? they're wrong ! 

#Renewables #solar #windpower #energy #nuclea????????Ã¢ÂÂ¬???????",2
94,"Greens are weird, aren't they?

In the battle against fossil fuel interests and climate denialism, their chosen battle is - and has been for decades - against nuclear.

Germany - no nuclear, but really high emissions.

France - loads of nuclear, and much lower emissions.

????????????Ã¢ÂÂ¬?????????????",2
95,"@nickhedley Nick the renewable ambassador, UN should hire Nick for this course is very passionate and he hates coal and nuclear.",0
96,"Might be time to consider moving towards Renewable????????Ã¢ÂÂ¬???????s.????????????

Wind Solar Water WSW and Storage which doesn????????Ã¢ÂÂ¬???????t create 

?????? Nuclear Waste which is the ultimate pollution.?????? https://t.co/evYMiM7XLe",2
97,"@itslukechen @historyinmemes They take quite a bit of oil/gas, they use wind which is a renewable energy but they aren????????Ã¢ÂÂ¬???????t as good as something like hydroelectricity or Nuclear energy",1
98,"@dankguyjeff @TypeForVictory How is 'order it 10 years ago' 'ready to go', but somehow nuclear takes.too long to be an option? Also I'm pretty sure your numbers are wrong but if not then installing enough renewable to provide for less than 1% of the UK's electricity demand isn't very impressive.",2
99,"RT @realKunalAShah: @Jkylebass You can also see the surreal expansion in nuclear, and renewable capacity - it????????Ã¢ÂÂ¬???????s unprecedented and it????????Ã¢ÂÂ¬???????s all????????Ã¢ÂÂ¬???????",0
100,"???????????????????????? ""Germany leads an 11-EU member states statement saying that the Swedish EU presidency should stop listening to France, who is blocking the renewable energy directive due to the absence of support for nuclear energy in it."" @POLITICOEurope",2
101,"@breadandposes Again, I'm not really interested in the nuclear v. renewable 'debate' but this seems like an odd argument when one of the few positive trends at the moment is the incredibly fast growth of renewables https://t.co/5BaGrzhWy0",0
102,"RT @SiOldridge: @dorfman_p Yes, baseload is just completely the wrong concept. The science shows we can get to a 100% renewable power syste????????Ã¢ÂÂ¬???????",2
103,@TheRapistGroper Environmentalists will sooner create renewable rupe goldberg machines than acknowledge nuclear energy as a renewable energy source,0
104,"@AlexEpstein The irony!  What did Texas, an oil &amp; gas rich state, invest in to expand their electricity grid?  More fossil fuel power plants?  More nuclear plants?  Nope.  Wind and solar power, because it's cheaper!

https://t.co/S3mLOTfSLv

https://t.co/hQufmWkfJN

https://t.co/KcagpgDuvM",1
105,"@acranberg @bmbrigham @AlexEpstein @heik_energy Plus, wind and solar power supported the Texas ERCOT grid during a recent Global Warming Driven heat wave that swamped existing fossil fuel &amp; nuclear power suppliers!

https://t.co/mn2049vLiM",0
106,"5. The financial and technological resources allocated to nuclear weapons could be better utilized to address urgent global issues such as poverty, hunger, access to clean water, and renewable energy.",0
107,"@nickhedley The day that these incompetent assholes stop trying to cut a personal deal for every single power deal, is the day that renewable energy will see the light of day. There is no problem using a mix of all types of power, because sun, wind, water and Nuclear have benefits.",2
108,@Keir_Starmer Nuclear power is not renewable and the waste is dangerous for thousands of years.,2
109,"RT @SayNo2SizewellC: ""History will remember those who stubbornly continued to promote nuclear power as a cabal who jammed a rusty radioacti????????Ã¢ÂÂ¬???????",2
110,"@CarolineLucas @RichardJMurphy Those are valid criticisms, but we need a solid baseline power supply that can underpin the vagaries  of wind and solar output. Nuclear has been grossly under developed, due to fear mongering and unfair risk aversion. Baseline nuclear and majority renewable seems sensible.",2
111,"""History will remember those who stubbornly continued to promote nuclear power as a cabal who jammed a rusty radioactive spoke into the renewable energy wheel &amp; called it a tune-up To deliberately impede and delay progress at a time of climate crisis...1/2 https://t.co/bn5Q3wtDky",2
112,"@Jord12115084 Depends on how you scope it of course ???? Both hydro and nuclear are green (no direct emissions) but are often not included in the ""renewable"" or ""green"" category, while biomass, which has horrible emissions, is ????????????Ã¢ÂÂ¬?????????????",2
113,"@nuclearzak Let's make a larger generalization - renewable energy sources are not designed to produce energy on demand.
They need help.
Why do so many RE advocates push back so hard when nuclear advocates say we can help?",1
114,"@kevindkillough 1/ There are many, many ways the numbers are gamed.  True first cost and install #'s, maintenance cost, running the real grid (gas, nuclear, coal) extremely in efficiently, the cost of which should be borne by renewable sector; having to put $B's into synch condensers",1
115,"RT @MuffiWilliam: Wind Solar Water and Storage are the safest path forward.????????

?????? Nuclear Waste and accidents are so dangerous to the local????????Ã¢ÂÂ¬???????",2
116,"RT @Keir_Starmer: With Labour, home-grown renewable and nuclear energy will drive growth across Britain.

Labour????????Ã¢ÂÂ¬???????s plan will boost energy s????????Ã¢ÂÂ¬???????",1
117,@wombat_ee @TheArisen01 Renewables are a misallocation of resources. Net zero will require almost 100% nuclear backup of renewable capacity. If so why waste time and money on renewables? Personally I think net zero is stupid but that's another argument.,2
118,"Doing a full year long course on Renewable Energies,
I will just be missing the nuclear experience at this point",0
119,"RT @TheGreenParty: ???? ""Nuclear is not going to help us out in this climate emergency.""

@carla_denyer speaks to the BBC about the need to in????????Ã¢ÂÂ¬???????",0
120,"RT @Leigh_Phillips: Let????????Ã¢ÂÂ¬???????s look at the results: (the greener, the less carbon intensive the grid; the browner the opposite) All those green????????Ã¢ÂÂ¬???????",0
121,"RT @TVAnews: The Watts Bar Nuclear Plant team wrapped up their unit 1 spring outage last month, completing 11,000 work activities! This har????????Ã¢ÂÂ¬???????",0
122,"Let????????Ã¢ÂÂ¬???????s look at the results: (the greener, the less carbon intensive the grid; the browner the opposite) All those green bits primarily depend upon hydro, nuclear or some combination of the two (yes, including DK, which piggybacks off others????????Ã¢ÂÂ¬??????? firm supply) https://t.co/rQoJxqMBFY https://t.co/UVbiiOtC8l",0
123,"RT @Leigh_Phillips: This is actually a rare Starmer win.

The truth is that France????????Ã¢ÂÂ¬???????s publicly built nuclear fleet (1979-88) experienced the????????Ã¢ÂÂ¬???????",1
124,"Hey hey, pssst! Want to know how to get safe, reliable, and zero carbon emissions power and steam production? Check out this article on Dow's Seadrift location being selected for the X-Energy Advanced SMR Nuclear Project. Click the link for all the deets: https://t.co/PfLE4jt9nV""",1
125,RT @Stphn_42: @TheGreenParty @carla_denyer My opinion of Carla Denyer is falling. Opposing low carbon energy in a climate emergency is bad????????Ã¢ÂÂ¬???????,2
126,RT @AbidaRafiqueAni: Will commercial ships go nuclear in the near future? Interest is growing in using new reactor #technologies  to scale????????Ã¢ÂÂ¬???????,0
127,"Will commercial ships go nuclear in the near future? Interest is growing in using new reactor #technologies  to scale back the maritime industry????????Ã¢ÂÂ¬???????s carbon footprint.
@zohaib24hdj @AsmaKhawaja5 @DrMFaisal @zafar_jaspal @SalmanAneel @adilsultan @CIMSEC @ForeignOfficePk https://t.co/XSTGjqPoDb",0
128,"The ""additionality"" principle requires that new, carbon-free sources be used to power H2 generation facilities.  (Note:  nuclear plant power uprates would qualify as new generation.)  4/16",0
129,"To keep global warming below 2 degrees by 2050, at least 80% of global electricity generation must be shifted to these low carbon sources (Source: IEA). Are you surprised nuclear energy has the lowest lifecycle emissions? https://t.co/m6ozSEvNz7",0
130,"@adrianeaux I don't know of anyone who says 100% nuclear. What I meant to say that ""And no, I don't think post-carbon energy sources should be exclusively nuclear"" as opposed to ""nuclear above everything else""",0
131,"in the meantime..

""Worldwide we need to double the amount of nuclear capacity, possibly  even triple it by 2050 in order to meet our net-zero carbon goals,????????Ã¢ÂÂ¬??????? U.S.  Assistant Secretary of Energy Kathryn Huff said"" 

https://t.co/v6uqeVhydL",0
132,"@MarvolianJoe @TheGreenParty @carla_denyer The definition of green hydrogen is flawed, green hydrogen is produced by electrolysis using renewable energy only (renewable energy is not carbon neutral). So hydrogen produced using nuclear is not green hydrogen. You do realise blue MUST use carbon capture to offset production.",2
133,@dorfman_p @historyscoper Most of the comments in the article are so wrong that I have to wonder if this is satire. Baseload is a very well understood concept among utilities. The article also provides no facts and is risible. Nuclear is really the best way to reduce carbon emissions.,2
134,"""It is our responsibility to the world to produce carbon-free power, to reduce emissions."" - Julia Sharma, P.E. Nuclear Safety Analyst at @xenergynuclear.
Learn more about X-Energy's mission to meet the world's energy demands with advanced nuclear below ?????? https://t.co/DoB9JXn4bf",1
135,@TomStDenis2 @calgarysun Except Quebec. I would like to know where this carbon tax is going as well. Nuclear seems to be the only option for a lot of provinces. Is this socialist government going to pay for those?,0
136,"RT @Stphn_42: @carla_denyer I expected better from you. 

You claim that ""nuclear energy is 8-11x more carbon intensive than renewables.""????????Ã¢ÂÂ¬???????",1
137,"RT @RJBono18: @carla_denyer Wind and solar are not the ????????Ã¢ÂÂ¬???????solution????????Ã¢ÂÂ¬???????. Germany has invested 500B in RE, yet yesterday their carbon intensity wa????????Ã¢ÂÂ¬???????",0
138,@Scipio4fricanus @TheArisen01 People aren't onboard with a big nuclear buildout yet. I'd rather wind and solar be built to reduce carbon in the meantime than no action be taken at all.,2
139,"@AdamForColorado Hi Adam, modern nuclear energy is a great, safe, low carbon addition to our grid, but I don't see any comments about it on your website or policy positions. I'd encourage you to consider vocally supporting it!",1
140,RT @GovNuclear: Will commercial ships go nuclear in the near future? Interest is growing in using new reactor technologies to scale back th????????Ã¢ÂÂ¬???????,0
141,"@TheGreenParty @carla_denyer Fucking hell, get with the program people. We need zero-carbon energy sources. Wind and Solar are two, but #nuclear is the capstone that will ensure that we can decarbonize further on into the future. @Carla_Denyer is clueless when it comes to our world-wide energy crisis.",2
142,"RT @micsolana: people are mad at the environmentalists for burning oil and coal in place of nuclear, but burning oil and coal releases a lo????????Ã¢ÂÂ¬???????",2
143,"RT @Cecalli_Helper: ""Konno asked Nishimura why the water must be released from #Fukushima. He also expressed concern that they might suffer????????Ã¢ÂÂ¬???????",2
144,"@bagsfan75_Tony Star Wars opens in cinemas
First Apple II computers go on sale
First commercial flight Concord
Elvis Presley Dies at the age of 42
People's Temple Jonestown Suicides
Three Mile Island Nuclear Accident
China institutes the one-child per-family rule
Pink Floyd release ""The Wall""",0
145,@pietpetoors @RussianEmbassy @mod_russia @mfa_russia @BBCWorld @SkyNews @ftworldnews @guardianworld @TelegraphWorld @LBCNews @POLITICOEurope @StatesmanWorld Nato bot! Ukraine blew up dam to cause nuclear accident ! Then blame Russia,0
146,"When does the world shout enough and united to remove Putin and expel the merciless Russ? Will it take a nuclear ""accident."" https://t.co/NGLfX4ltzm",2
147,"@mog7546 buddy Chernobyl was an accident in a nuclear power plant, this is just FYI, and i was wondering also why people don't talk about the crimes the USA did in Afghanistan Yemen Vietnam Serbia and Syria

https://t.co/amPdBbu2hP

https://t.co/xXAbbTgok8",2
148,RT @Silverfox6158: Ukraine are trying to cause a nuclear disaster.  Remember when they shelled the Nuclear facility last year? They accused????????Ã¢ÂÂ¬???????,2
149,"When I wrote MT in 1986, Chernobyl had the largest nuclear accident in history. It was said in Japan to have affected Eastern Europe as well. Nine years later. It might be safe, but it could not be said to be so. https://t.co/qLZohqLhHd",2
