,tweets,labels
187,@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,0
188,Opps.. As I said.. I still got one day remain and now problem come ,0
189,"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",0
190,@HillyDoP  oH NO,0
191,spencer is not a good guy. ,0
192,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",0
193,"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,sheï¿½s not well ",0
194,didn't get shit done today ~ i'm so screwed ,0
195,wanttss to go out ,0
196,Is not going to sleep tonite. ,0
197,too worried and tired to post tonight ,0
198,couldn't get shit done today ~ i'm so screwed ,0
199,"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",0
200,"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",0
201,@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,0
202,"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",0
203,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,0
204,i hate to see the spartans so sad ,0
205,My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,0
206,"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",0
207,@mandayyy ,0
208,@twista202 I think I want to read some books but the library doesn't have them ,0
209,My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,0
210,Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,0
211,@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,0
212,Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,0
213,sad that the 'feet' of my macbook just fell off ,0
214,I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,0
215,"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",0
216,"Has now gotten somebody to read his tweets, but cant get them to make an account. ",0
217,@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,0
218,@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,0
219,@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,0
220,@breadandbadger Congrats!!  i totally forgot to submit photos ,0
221,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",0
222,@imaginarypeach now your leaving me  .... -gets sad-,0
223,"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",0
224,SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,0
225,Tuesdayï¿½ll start with reflection ï¿½n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,0
226,What tragedy and disaster in the news this week ,0
227,yes yes still trying to find a picture that will upload correclty.. ,0
228,Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,0
229,I still can't find my keys. ,0
230,@charlietm I know right. I dunno what is going on with twitter. ,0
231,might be getting a sore throat again ,0
232,@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,0
233,@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,0
234,@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,0
235,is in the bathroom... wake up lakin. ,0
236,@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,0
237,"im lonely  keep me company! 22 female, california",0
238,bad day at the betfair office ,0
239,I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,0
240,I'm really cold. I don't want to go to sleep yet but there's nothing to do ,0
241,@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,0
242,monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,0
243,@miss_om Aww  I know I felt like that yesterday at work ,0
244,@SarahReedSC treaty isn't defined ,0
245,missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,0
246,@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,0
247,Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,0
248,@mandayyy   ,0
249,New video card is DOA. ,0
250,"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",0
251,"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",0
252,missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,0
253,i think to much on the past. i cant change it. i deserved so much more then wat i got. ..but why am i still thinking about him  gah,0
254,has lost his ring. It's no-where to be seen ,0
255,"@burgaw Ooooooh! *sealclap* See, I download shitloads of zip folders off 4chan. I have no internet moneys.  FUCK YEAH ALICIA &amp; MIKEY.",0
256,Is still nursing my Nile but glad he is feeling better. I hate when my baby is sick ,0
257,Is fucked to go back to IC ,0
258,@Brandizzzle08 yoyoyo. my internet has been rude tonight. it JUST reconnected and I'm about to go to bed. ,0
259,@jemcam well i have uni stuff and netball  but after netbal if i've done uni stuff we can,0
260,@kissability Me too I is poor ,0
261,help me forget 8th april &amp; 13th july! ,0
262,"dierks bentley is comin' to columbus, OH!! i wanna go so bad ",0
263,i have to take my sidekick back. ,0
264,@chriscantore congrats! I'm totally jealous! only wish my XM was working ,0
265,gr8t my face is very itchy ,0
266,poor socks  luvvvvv the golden retriever!! I want one sighhhh,0
267,I just saw that they found that Tracy girl in a piece of luggage... How fucking terrible ,0
268,Aaaaand the nausea is back. ,0
269,@DonnieWahlberg ooh Iï¿½m excited and not even going 2 be there  long love YOUTUBE!,0
270,spent 1 hour to reach to Axis bank only to find out today is holiday for Mahavir Jayanti  contd..,0
271,@mathewsmichael  i agree... the jobros dont update theres very often ,0
272,@fishmouse it is hilarious and I linked the clip from LJ some time ago but when I went back just now it was a dead link ,0
273,@DiannePulham OOOOOOOO who with? (im not neither but thats because i need to study  ),0
274,"Haven't tweeted nearly all day  Posted my website tonight, hopefully that goes well  Night time!",0
275,@bostongarden I miss bentley ,0
276,seriously needs to finish these job applications ,0
277,"My son Vincas is sick, so I stay at home  Just three tense days at work, and I am back on holiday with kids",0
278,Whinging. My client&amp;boss don't understand English well. Rewrote some text unreadable. It's written by v. good writer&amp;reviewed correctly. ,0
279,@huntermoore I don't want him to ever punch me.  ,0
280,sooo sick of the snow  ughh,0
281,@ITS_NEMESIS ------- ,0
282,@LoveMeagan it doesn't work your fan is upset ,0
283,I would like to apologize for the repeated Video Games Live related tweets. I am going to have a stern discussion with Koodo soon. Stern. ,0
284,@zaydia but i cant figure out how to get there / back / pay for a hotel etc ,0
285,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",0
286,feels like she slept the day away.    Not looking forward to any more bouts with my gallbladder.  At least I have pills now for the pain.,0
287,@ThaStevieG but what I really want is my old bass back ,0
288,Mad tired today... Callin it in early tonight  nighty night twittas,0
289,"@LevenRambin: Take it easy, and be good to you. ",0
290,I'm afraid I had bad code. ,0
291,Think I'm going to bed. Goodniight. I hate this ,0
292,"@riancurtis  i'm here, friend, and i love you.",0
293,@kariajay  All this time you didn't notice I was gone...just needed DB2 is it??,0
294,@aaronrva is in the bathroom and i have to pee!    ,0
295,@ashleyskyy but I wanted a margarita too! ,0
296,@KourtneyKardash yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough!,0
297,Just called Hillsong again - they said they couldn't tell me where I was on the waiting list - I don't know if it's looking so good ,0
298,"has 0g of milky bar left, and around 200ml of coke ",0
299,@jokerrrr It stillllll hasn't arrived ,0
300,"Mraow, I feel like dancing, but first art school wants to rape me some more. ",0
301,@karenucol ah! I bet it does I've been like craving to play softball or basketball !!! But I have noo time ,0
302,Is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back ,0
303,amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,0
304,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",0
305,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",0
306,Just watched tropic thunder. Dreading tomorrow ,0
307,@qweendassah no...he's still miss'n... ,0
308,ChiefDelphi is down ,0
309,"http://twitpic.com/2y2wr - according to my bro, our new puppy had a poo fight and was covered in poop  (picture stolen from him)",0
310,playing game at home! my new boss didn't call me yet... ,0
311,Su yin Huen tweeted I feel unbearable guilt. I made my staff cry  http://tinyurl.com/cw2l9t,0
312,Poor Joshy is sick???   those damn tejanos!,0
313,My thoughts are with Sandra Cantu's family at this difficult and sad time ,0
314,"@FranzGlaus I know, just wanted to let everybody know what was happening  ",0
315,Michigan who?  I don't know them.                   *sigh*   Shameful!,0
316,i have to fill two hours ,0
317,"@alicayaba so cuuute! hey, i miss you na!  its not the same not seeing you girls everyday ",0
318,@JonathanRKnight Oh! Did I mention it? &quot;Gooooood Moooorniiiiiiing&quot;  from Germany! Im back in my cage....or better...my office ,0
319,throat is closing up and i had some string cheese. not a good idea ,0
320,"Aww, Sandra Cantu is found dead in a suitcase  Missing children stories never seem to go good. Poor family.",0
321,wishing i was home underneath my covers ,0
322,walking home from school drains all my energy ,0
323,"@ridley1013 I agree. The shapeshifting is a copout. I was so excited for Angela's ep, I thought it was this week.  Noah was awesome tho!",0
324,@SaveTheStrib Dang! I would have done this if I knew it was there earlier.  Any other outings planned?,0
325,I wish I was better at writing. It's taking me so long to write this paper. ,0
326,..and of course... I have access to my Halo 3 Mythic Map Pack re-download.. but bad news.. not the Legendary Map Pack... ugh.. 600MS... ,0
327,"@vene2ia ...not yet unfortunately, another few weeks I've been told  How are you? I've been a little bit busy with my latest project.",0
328,@thecoolestout Ha the sun's already gone ,0
329,day 2. a lot harder than day 1. let's see how day 3 goes tomorrow. ,0
330,My man crush Jake Peavy let me down  #gayforpeavy,0
331,"@trishzw megafast trip, you have time during day tom/weds? Or, you going out tonight? Want to see you bad. Tried to warn you, tech fail ",0
332,michigan state you make me sad ,0
333,omg. my mouth is in so much pain  i just wanna sleep untill its time to take my braces off.,0
334,getting annoyed easily today  &gt;&gt;&gt; biofuel proposal: getting annoyed easily today  &gt;&gt;&gt; biof.. http://tinyurl.com/ceprvs,0
335,@MizzChievouz Hey girl. The site is back.  Girlyvue is back and they have even more videos. ,0
336,@a5hleyf i'm spending time with my grandma early tomorrow and i can't leave skittles by herself. ,0
337,just got home from watching Michigan State get tromped!   ,0
338,"Oh jew-bus! Two years worth of classes' work is ALOT to organize &gt;_&lt; i'm not finishing tonight, it's not possible...my bones ache ",0
339,"@griffmiester no exchanging for me, my laptop hasn't arrived ",0
340,@hyperbets i hope this doesn't last too long.  i feel miserable!,0
341,@rcompo RACHEL! hang outage is neccessary - i was gonna be home this wekend but dumb folk make me work   so im free F and Sat until 4...,0
342,@TheLeagueSF Not Fun &amp; Furious? The new mantra for the Bay 2 Breakers? It was getting 2 rambunctious;the city overreacted &amp; clamped down ,0
343,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!,0
344,"I swear no matter how long I've been getting up at 5am, it never gets any easier. Man my eyes hurts wah ",0
345,@Jeffree_Star Jeffree! How do you keep your hair one color? My PERMANENT dye fades within the week ,0
346,"@otakusecret my reaction too  whoa, didn't see that coming",0
347,"still sick. feeling a bit better, got some new medicine.... hope I feel good after a night of sleep. ohh, and it's suppose to snow! WTF! ",0
348,"@Dangerm0use I think maybe you should get a couple more hours of sleep, hon. How productive can you be right now if ur dog tired? I worry ",0
349,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. ,0
350,Wish I had all the XBLM downloads all on the gamertag 'Hitokyri'. This 5 gamertag thing is nonsense... and I'm tired of it ,0
351,New Testament Test at 9:30 am   ,0
352,@ScoutBuck tons no hay Troll? ahhhh ,0
353,stupid movies we watched... mirrors ugggggh... stooopeeed!!! rip off! ,0
354,"http://twitpic.com/2y2yi - I love you, Buck. ",0
355,last one!!! but still not done!!! ,0
356,homework.... ,0
357,I don't understand why things get taken away. I didn't have enough time with him its unfair. I want him back!! He was like my baby ,0
358,Scratch that: du in heif (two in a half) cookies. My tum just can't take anymore shoog. Poots ,0
359,@cococourtney i was just listening to the sweets for the first time in forever! i miss them so much  can we go to chi town for visits plz?,0
360,"Geez what a busy afternoon. Meetings, emails, meetings and email and more meetings. 6pm and the day is still going! Ah its dark and ",0
361,"DANG!!! ANOTHER SPRING BREAK!!!  HOW COOL IS THAT???  TOO BAD I HAVE TO WORK ALL WEEK  OH WELL, MORE MONEY FOR A PHONE.  ttyl EVERBODY!!!",0
362,@Sara_Kate Im afraid too  ( ur reply about uni from ages ago,0
363,feeling down ,0
364,@CarVin1 lol they are some emotional ass men!! Omg all this late night eating.. Both of us are broke ,0
365,"@nick_carter Aww Nick!! I like your hair longer, why did you cut it off?  Break. My. Heart.",0
366, wonder if Jon lost the net,0
367,Wow. The most depressing thing in the world is losing a video that you've created in a matter of seconds.  #FML,0
368,@nchokkan https://www.mycomicshop.com/search?TID=395031 But all says not in stock ,0
369,@Poohpot lmao im sorry poohpot i ate it all! ,0
370,Any chance  Softbelly (for @MTUB) isn't loud? ,0
371,Time to move my posterior  and lose some fat. My articulation are creaking so no more running  but Iï¿½m drool for some swimming,0
372,listening to nathan cry.... ,0
373,today sucked. I'm gonna die without chris and callum!  wahhh!,0
374,"STOU site not update, no info about 2/2552 exam, and open course, I must wait for mail notices and doc. um... ",0
375,@ohsbrat30...I'm sorry. I'm feeling kinda yucky myself. 5am is going to come too quick ,0
376,is in love with scrappy and is missin him already ,0
377,wants to hear @seblefebvre 's song but myspace is messing with me ,0
378,Bad news was Dad has cancer and is dying   Good news new business started and  I am now a life coach practising holistic weight management,0
379,@duchess_rebecca Man... intervention is soo sad ,0
380,HELP! I need a new boyfriend... I'm stuck in a rut ,0
381,I feel like a complete idiot. I'm the only one who doesn't get how this shit works  help me ,0
382,Saw an ad on Craigslist for a casting call for a female host on G4. I was totally psyched! But realized it was a hoax ,0
383,Pepperoni rolls in L.A.?: I called Valentino's - they said that they had sausage rolls but no pepperoni rolls  http://tinyurl.com/cec5ka,0
384,"@soillodge yes, it will be. it's only Monday ",0
385,i want the new GG episode already ,0
386,I miss watching Rocko's Modern Life. ,0
387,RIP Sandra....its so sad    how can someone do something like that??,0
388,Keeping my fingers crossed for my buddy    He is not feeling well.,0
389,Wait should I eat?? Or be skinny for vegas!! I'm hungry! ,0
390,"@Marge_Inovera I tried tweetdeck once and I hated it with a passion. Or it hated me, I'm not sure... ",0
391,"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin ",0
